B52 FIN 648,Independent Study in Finance,,"Internship must be arranged by the student and approved by the advising faculty member. An outline of objectives must be submitted to the PhD Office prior to enrollment. May be taken a maximum of five (5) times for credit. Credit, variable; fifteen (15) credits combined total. ",
B52 FIN 649,Directed Readings in Finance,,"A program of readings developed by and with the approval of one or more members of the Finance faculty. Prerequisite, approval of the Director of the PhD program. Credit, variable. May be taken up to two (2) times for credit; six (6) credits combined total. ",
B53 MGT 601,Doctoral Prep: University Teaching,,"Two (2) credits are required for the PhD. Students must provide an Olin Professor 30 hours of assistance in the teaching function; includes, but is not limited to, conducting help sessions, grading, and developing lectures or exams. Maximum of eight (8) credits allowed. Hours performed during this course do not count towards RA/TA requirements. Credits will count towards teaching requirement of the Graduate School of Arts & Science. ",
B53 MGT 605,Research Internship,,"Three (3) credits are required for the PhD. Under the direction of a faculty member, students will work (and be graded) on their own research project. This requirement will be completed when students are at candidacy and preparing a dissertation proposal. Internship must be arranged by the student and approved by the advising faculty member. An outline of objectives must be submitted to the PhD Office prior to enrollment. An additional nine (9) credits may be taken; maximum of twelve (12) credits allowed. ",
B53 MGT 610,Dissertation,,"Maximum of twelve (12) credits allowed, six (6) per semester. "," submission of Title, Scope and Procedure Form and successful Proposal of dissertation. "
B53 MGT 620,Empirical Methods in Business,,"The objectives of this course are to train PhD students in different business disciplines to understand: how to use data to address research questions, how to build econometric models that can be applied to data, and how to estimate the econometric models using some statistical packages. This course emphasizes on empirical data handling and estimation issues. "," students are expected to have basic statistical knowledge such as random variables and distributions, tests of statistical hypothesis, basic linear regression and maximum likelihood estimation. "
B53 660,Seminar on Presentation Skills,,"The goal of this course is to teach students the basic principles of effective research communication sufficiently early in the program, so that they have multiple opportunities to practice and hone their skills.  The learning objectives are as follows:  1)  demonstrate knowledge of how to organize thoughts and write research papers effectively.  2)  demonstrate ability of how to design effective presentation decks for seminars and conference presentations and 3)  Improve the critical thinking that underlies research before, during, and after its completion. ",
L11 Econ 503,Microeconomics I,Fall. ,"The first of a two-semester graduate sequence in microeconomic theory. The courses cover the determination of relative prices and quantities exchanged of final products and factors of production. The first semester considers production and costs, supply of output and demand for inputs, demands for final products, market organization, time and capital.",
L11 Econ 504,Microeconomics II,Spring. ,"The second of a two-semester graduate sequence in microeconomic theory. The second semester considers the further development of individual consumer behavior, aggregated demand, general equilibrium analysis, Leontief models, consumer's surplus analysis, social choice, and expected utility analysis.",
L11 Econ 511,Quantitative Methods in Economics I,Fall. ,"Study of those topics of mathematics of special usefulness in economic research. Selection and ordering of topics will vary with level of student preparation but will usually include the following: Vectors, matrices, lines mappings; their manipulation and elementary properties; elementary topology, and elements of multidimensional calculus.",
L11 Econ 512,Quantitative Methods in Economics II,Fall. ,"Introduction to mathematical statistics designed to provide a background for the study of econometrics. Selection of topics will usually include probability, introduction to distribution theory, including limiting distributions and distributions of quadratic terms, Bayes Theorem, and hypothesis testing. 3 class hours a week.",
L11 Econ 513,Introduction to Econometrics,"Spring, odd yrs. ","Classical multiple regression analysis and an introduction to generalizations useful in empirical research in economics, including a framework for dealing with problems of multicollinearity, specification error, heteroskedasticity, serial and contemporaneous correlation, identification and consistent estimation in simultaneous equation models.",
L11 Econ 5161,Applied Econometrics,"Spring, even yrs. ","Introduction to econometrics as it is applied in microeconomics and macroeconomics (modular). Topics related to the analysis of microeconomic data include maximum likelihood estimation and hypothesis testing; cross-section and panel data linear models and robust inference; models for discrete choice; truncation, censoring and sample selection models; and models for event counts and duration data. Topics related to the analysis of macroeconomic data include basic linear and nonlinear time series models; practical issues with likelihood-based inference; forecasting; structural identification based on timing restrictions and heteroskedasticity; and computational methods for hypothesis testing and model comparison. ",Econ 512.
